problem,method,best,mean,median,std,worst,succ_rate,mean_ett,mean_wall,finals,obj_mean,obj_best,feas_rate,cfg_best
Griewank,HH-Random,0.1423693962165975,0.5204441623703157,0.5487790294155228,0.1971060161957755,1.048677510977455,0.0,-1,0.19890766143798827,"[0.142369, 0.620101, 0.731077, 0.519193, 0.568688, 0.496621, 0.382632, 0.528067, 0.587123, 0.591282, 0.604106, 0.529099, 0.502503, 0.269273, 0.48838, 0.296353, 0.3316, 0.56846, 0.614509, 0.527652, 0.154548, 0.18225, 0.729759, 0.259663, 0.784979, 0.593881, 0.674104, 1.048678, 0.637827, 0.648548]",,,,
Griewank,DE,0.40584578254552084,0.6234231732096923,0.634597269422428,0.07931462615677615,0.7685472359265535,0.0,-1,0.2724552869796753,"[0.61305, 0.704225, 0.577724, 0.582593, 0.734906, 0.663643, 0.563341, 0.655219, 0.405846, 0.693865, 0.55512, 0.508869, 0.589301, 0.702651, 0.570007, 0.679554, 0.631482, 0.676417, 0.691725, 0.559633, 0.696339, 0.698172, 0.619601, 0.660023, 0.510036, 0.768547, 0.494794, 0.637713, 0.65682, 0.60148]",,,,
Griewank,CMA-ES,0.0,0.01025922375270536,0.009860978334413462,0.008895661262298645,0.02951780451814079,0.5666666666666667,1335.1176470588234,0.14822250207265217,"[0.022151, 0.012321, 0.0, 0.017236, 0.0, 0.01478, 0.022151, 0.0, 0.009865, 0.007396, 0.017241, 0.0, 0.009857, 0.009857, 0.0, 0.0, 0.009857, 0.0, 0.029498, 0.014772, 0.017226, 0.0, 0.012316, 0.029518, 0.0, 0.009865, 0.01969, 0.0, 0.012321, 0.009857]",,,,
Griewank,LLH:SA,0.9225332700037434,1.0743710317484074,1.072625254287096,0.08252332397634976,1.2976831895990517,0.0,-1,0.13062615394592286,"[1.053864, 1.117388, 0.994647, 0.975178, 1.122447, 1.170156, 0.922533, 0.978878, 1.143537, 1.107468, 1.10654, 1.047135, 1.199218, 1.1214, 1.065521, 0.971582, 1.05146, 1.064267, 0.985323, 0.983502, 1.040903, 1.154117, 1.133306, 1.297683, 1.097038, 1.07973, 1.086968, 0.99406, 0.979791, 1.18549]",,,,
Griewank,LLH:Tabu,1.370234612264776,1.7040037774288457,1.6852899251430937,0.18114782808584823,2.11038551291077,0.0,-1,0.15880556106567384,"[1.68014, 1.459695, 1.469834, 1.788591, 1.834669, 1.550032, 1.739629, 2.05364, 1.72338, 1.687778, 1.849323, 1.65392, 1.589245, 1.701335, 1.949619, 1.535253, 1.370235, 2.008012, 1.695105, 1.466304, 1.797232, 1.956817, 1.62206, 1.514979, 2.110386, 1.768614, 1.67756, 1.682802, 1.609548, 1.574376]",,,,
Griewank,LLH:VNS,0.2333807988906852,0.5135174459532236,0.44400471251921114,0.20234391106501234,0.9403958403231061,0.0,-1,0.19782330989837646,"[0.233381, 0.428226, 0.407703, 0.348822, 0.358057, 0.393085, 0.790299, 0.454919, 0.618655, 0.270646, 0.368333, 0.422427, 0.850074, 0.916826, 0.450686, 0.263564, 0.594728, 0.466485, 0.370437, 0.940396, 0.919434, 0.519591, 0.424232, 0.448738, 0.812134, 0.525768, 0.387719, 0.342905, 0.637983, 0.439272]",,,,
Griewank,LLH:LNS,3.1374650651122598,5.913136457666044,5.940177382226517,1.6980853622383316,9.779007305076282,0.0,-1,0.27169405619303383,"[5.209628, 6.102161, 4.95711, 5.241446, 4.113797, 6.275697, 6.451278, 6.650545, 8.765536, 5.102792, 6.393522, 3.137465, 6.056854, 3.18707, 9.154593, 7.729424, 6.869837, 3.269197, 4.561164, 8.418593, 5.263348, 5.863801, 7.640846, 4.126555, 4.19454, 4.784419, 6.016554, 6.583396, 5.493918, 9.779007]",,,,
Griewank,LLH:DE/rand/1,0.014772407791743714,0.10232158881589531,0.07393632463591415,0.0996534466619458,0.5130309451212345,0.0,-1,0.28147908846537273,"[0.019697, 0.19133, 0.025011, 0.03416, 0.051648, 0.090338, 0.11459, 0.046897, 0.073739, 0.111447, 0.276318, 0.08715, 0.125586, 0.125108, 0.014772, 0.030298, 0.272309, 0.058159, 0.041822, 0.049275, 0.513031, 0.034681, 0.096046, 0.074133, 0.037478, 0.055146, 0.129379, 0.09774, 0.059916, 0.132442]",,,,
Griewank,LLH:DE/best/1,0.6985194888286766,4.930011684895421,3.677728925569656,4.669557846502812,21.873558545157092,0.0,-1,0.28898884455362955,"[0.762659, 5.810329, 1.384487, 2.456075, 9.40273, 0.829892, 0.816673, 4.106313, 3.695239, 8.819919, 1.976989, 3.66373, 1.255826, 1.299898, 3.691728, 8.444808, 6.644487, 5.213534, 1.920157, 2.062299, 3.469209, 0.698519, 15.334269, 21.873559, 7.53909, 0.708109, 9.431363, 1.725458, 6.481412, 6.381592]",,,,
Griewank,LLH:PSO,91.84315241337089,149.97909349190547,141.67379735235875,38.075516190584615,236.0976653347686,0.0,-1,0.16490309238433837,"[171.747314, 165.460288, 104.831584, 91.843152, 109.789258, 175.772921, 164.587647, 129.000741, 140.089027, 144.096387, 139.500737, 236.097665, 101.786495, 126.948201, 140.845716, 115.796476, 96.269383, 182.191544, 215.165953, 163.608536, 97.18511, 129.212725, 166.503526, 216.35855, 208.229845, 130.116791, 128.843904, 142.501878, 183.745523, 181.245925]",,,,
Griewank,LLH:perturb-V,77.59663131531036,130.8563500537661,123.14502360971838,39.378669407564985,214.37079018254835,0.0,-1,0.11202989419301351,"[126.459781, 106.763759, 86.027626, 87.270594, 77.596631, 95.444562, 112.537285, 128.144167, 133.289861, 98.427762, 132.673808, 214.37079, 92.43728, 126.897957, 112.472049, 114.629519, 85.586691, 108.382844, 206.673363, 163.244651, 95.058703, 119.830266, 155.615623, 208.84209, 207.915035, 113.493765, 128.836026, 140.521243, 179.823678, 166.423091]",,,,
Griewank,LLH:perturb-w,52.92709609297163,129.60302786245921,127.86236292128802,37.49593317760343,207.43698339113269,0.0,-1,0.12128908634185791,"[120.596334, 146.638459, 100.751857, 62.302419, 106.971161, 175.056796, 155.822096, 126.945389, 139.812445, 122.918967, 105.357356, 189.33729, 92.442515, 52.927096, 117.832655, 110.827121, 90.369802, 180.682085, 134.028953, 163.526324, 82.444941, 80.220541, 143.641025, 191.111877, 207.436983, 121.992667, 128.779337, 141.993062, 136.883979, 158.439302]",,,,
Griewank,LLH:perturb-share,52.005070902227864,129.72520657600694,127.61948775177663,42.42650939590647,209.26818731278618,0.0,-1,0.11551342805226644,"[156.904431, 129.943277, 104.776068, 84.350473, 104.846594, 159.969128, 149.027708, 61.158489, 120.665583, 143.989891, 137.196309, 208.966246, 66.115802, 123.093625, 123.093677, 108.583112, 52.005071, 179.683426, 158.257746, 78.924006, 96.276331, 125.322211, 159.487707, 209.268187, 204.514196, 129.916764, 80.359697, 95.846253, 161.562683, 177.651505]",,,,
Griewank,LLH:swap-hybrid,88.21545681739994,139.5024177945803,134.6417083176387,36.38100625645137,214.6303887685882,0.0,-1,0.10843003590901693,"[170.796763, 165.448873, 88.215457, 91.210508, 107.732649, 158.832398, 163.353517, 104.029452, 128.286221, 142.483203, 137.908571, 160.210523, 89.852939, 120.863707, 134.275243, 102.583283, 93.325627, 165.661222, 214.35587, 149.439647, 92.541426, 117.109654, 119.588036, 214.630389, 207.83349, 126.945357, 127.853872, 135.008173, 177.24145, 177.455013]",,,,
Griewank,LLH:swap-fluid,77.59670059095086,130.85640013760332,123.14510141263887,39.37865878129768,214.37079014553996,0.0,-1,0.1108403205871582,"[126.459801, 106.763759, 86.027628, 87.270675, 77.596701, 95.444562, 112.537303, 128.144226, 133.289861, 98.427762, 132.673808, 214.37079, 92.437285, 126.897964, 112.472312, 114.629526, 85.586742, 108.383246, 206.673395, 163.244649, 95.058704, 119.830402, 155.615636, 208.842194, 207.91504, 113.493768, 128.836027, 140.521461, 179.823678, 166.423098]",,,,
Schwefel,HH-UCB,238.4373036139641,612.1375498902581,594.9980569113411,203.4151521068543,1054.4752404583683,0.0,-1,0.18404332796732584,"[357.410042, 542.596566, 357.240802, 594.01605, 420.664346, 425.628268, 680.177624, 462.794182, 609.594285, 783.835559, 643.903305, 522.051576, 554.221355, 607.855711, 755.42553, 464.69564, 584.005199, 238.437304, 248.452285, 830.667034, 595.54461, 691.076666, 418.28921, 594.451504, 714.378722, 812.288811, 1054.47524, 969.478374, 890.675135, 939.795561]",,,,
Schwefel,HH-Random,124.08546163962728,541.5085554037282,544.7054247320436,209.55554278621855,1129.740246214275,0.0,-1,0.16335734526316326,"[434.589375, 753.308211, 652.856747, 533.961971, 423.129025, 411.83656, 443.943335, 692.531998, 932.453441, 416.446146, 595.013306, 1129.740246, 261.414438, 595.764163, 693.508093, 238.807282, 355.559202, 594.91609, 247.558724, 555.448878, 479.566165, 811.09751, 474.197563, 635.975487, 460.510527, 652.849933, 356.615503, 124.085462, 574.102651, 713.468627]",,,,
Schwefel,DE,821.0040080366043,1390.770070577573,1415.9169359155605,271.40997228984264,1900.935328515653,0.0,-1,0.2189160426457723,"[1741.479354, 1773.993581, 1144.986959, 1651.220776, 1567.182039, 979.425388, 821.004008, 1622.365723, 1775.030619, 1304.01306, 1304.237863, 1464.829443, 1505.46115, 1900.935329, 1085.319597, 1367.004429, 1084.124193, 1523.709864, 1514.029267, 1111.935932, 1698.61257, 1287.71955, 1259.691312, 1539.951648, 1520.218045, 1616.497266, 1085.401581, 1138.868564, 1058.14556, 1275.707451]",,,,
Schwefel,CMA-ES,809.3313424627631,1449.4637124480882,1381.8592829152117,430.97672346973786,2605.966622439336,0.0,-1,0.1143471876780192,"[2605.966622, 1756.925577, 986.999722, 1461.267352, 2173.043952, 1302.965506, 1322.669604, 1679.56747, 2033.262389, 1835.948889, 888.298387, 1322.610627, 967.262722, 1283.117582, 1223.909292, 868.561387, 1401.577671, 1382.300307, 1381.899649, 1900.963189, 1223.906583, 1381.818917, 1559.520198, 1740.157139, 1697.776264, 809.331342, 2132.180383, 929.286737, 1263.461314, 967.3546]",,,,
Schwefel,LLH:SA,252.6701906557605,1222.781541782486,1275.844225795061,360.7899308865191,2044.4262656818678,0.0,-1,0.0958707094192505,"[1019.404457, 805.724956, 868.863117, 572.715689, 1260.840888, 1489.245611, 2044.426266, 1122.816293, 1304.140388, 668.291555, 1295.163835, 1386.57857, 1318.932467, 1739.412848, 1365.105598, 1356.735075, 965.154394, 1214.919801, 1346.018436, 1513.317992, 1616.455659, 1181.88503, 976.529917, 1275.820729, 1213.764024, 1275.867723, 1105.922065, 1835.479468, 252.670191, 1291.243216]",,,,
Schwefel,LLH:Tabu,776.4854778677313,1425.4819782180386,1414.0250866516337,319.2836386790936,2259.350132109787,0.0,-1,0.12218820254007975,"[1747.732171, 1224.441185, 1754.038921, 1673.51232, 950.843713, 1395.670032, 776.485478, 1762.345361, 1078.638311, 1317.832195, 1366.588332, 1810.496079, 1378.465264, 1594.926718, 1130.784903, 1148.810648, 1656.834583, 2259.350132, 1726.426526, 1556.820099, 1512.387627, 1178.988466, 1578.230481, 1054.622895, 1041.026943, 1219.454677, 1096.977318, 1432.380141, 1634.712239, 1704.635588]",,,,
Schwefel,LLH:VNS,119.84462455320272,515.9575586417631,475.9898420162749,186.13389955056397,1048.391286588745,0.0,-1,0.1582466999689738,"[594.174906, 356.763633, 411.12063, 119.844625, 455.875852, 836.707998, 465.946093, 357.975863, 276.836291, 475.938766, 476.631696, 593.370427, 1048.391287, 577.537422, 573.730911, 594.450406, 475.321212, 593.911151, 455.468953, 356.139808, 475.986166, 832.490678, 712.421505, 355.599679, 475.993518, 239.251098, 474.186316, 744.254977, 476.656794, 595.748101]",,,,
Schwefel,LLH:LNS,319.5631984143283,538.3464149978607,519.3331057256617,135.79411745051766,792.1284963596004,0.0,-1,0.228738276163737,"[707.81231, 626.515765, 324.754741, 644.154989, 342.902328, 785.871067, 602.644569, 549.330767, 651.146995, 487.226388, 503.586548, 462.377999, 395.054519, 381.952435, 535.079663, 408.263156, 792.128496, 540.203318, 385.613101, 431.740426, 489.597185, 470.646594, 724.818046, 319.563198, 654.759012, 668.592977, 499.850892, 432.460523, 604.653657, 727.090787]",,,,
Schwefel,LLH:DE/rand/1,476.78745748208667,966.4345976528732,936.4381927872951,281.54753993770174,1561.83605336771,0.0,-1,0.24338587125142416,"[1055.904839, 868.175789, 1169.197525, 976.295148, 714.529122, 1428.845313, 1176.853675, 1075.624326, 783.263744, 595.225792, 798.820798, 547.183112, 1105.972058, 1561.836053, 832.302631, 855.499133, 832.685057, 1200.932769, 960.619301, 1095.816852, 476.787457, 1548.800707, 912.257085, 838.579458, 1060.935598, 870.501822, 652.74409, 1077.623987, 1400.864339, 518.360347]",,,,
Schwefel,LLH:DE/best/1,690.8931602980792,1337.8475404796554,1352.2169785544581,330.8849807207633,2083.30114956025,0.0,-1,0.25925859610239665,"[1342.347633, 749.651403, 929.286737, 1291.982113, 1442.738631, 1642.983765, 1106.988017, 1264.91237, 690.89316, 1424.315889, 1529.377169, 1541.281214, 751.705595, 1486.558298, 986.999722, 1362.086324, 1720.511772, 1283.150901, 1903.976589, 1675.62202, 1223.873702, 1302.965519, 1287.635859, 1758.498922, 1465.304239, 848.91652, 1365.083233, 1445.567239, 1226.91051, 2083.30115]",,,,
Schwefel,LLH:PSO,2379.2996754517253,3126.088054156251,3132.3510358427848,350.6365486416298,3863.492620468028,0.0,-1,0.13250358104705812,"[2955.297284, 2858.342688, 3086.220373, 2977.845444, 2442.622249, 3648.797117, 2496.976321, 3241.623633, 3286.959974, 3725.234892, 3129.293778, 3288.447314, 3206.745046, 3220.810078, 3078.511696, 3118.720871, 3135.244268, 3096.330493, 3176.283998, 2834.742771, 3497.898744, 3129.457804, 2892.899521, 2575.406985, 3863.49262, 3270.521219, 2379.299675, 3298.675024, 3264.265131, 3605.674613]",,,,
Schwefel,LLH:perturb-V,1880.4861520440609,2839.2167861900507,2860.7641271590355,426.125784311685,3722.3046779699025,0.0,-1,0.08569039503733317,"[2478.325172, 2709.487475, 2691.285176, 2259.826644, 2417.343159, 3398.924677, 1983.004889, 2938.872486, 2875.543216, 3722.304678, 2722.771236, 2917.043762, 3197.173146, 2777.967198, 3078.477023, 3112.044929, 2974.414571, 3095.919629, 2845.985038, 2597.54486, 2877.255887, 2828.328668, 2739.005807, 2158.760643, 3623.375144, 3027.950712, 1880.486152, 3194.970001, 2664.877754, 3387.233855]",,,,
Schwefel,LLH:perturb-w,2244.172994137833,2837.0012649375435,2858.440931850694,347.5326395024296,3640.551590305067,0.0,-1,0.08806063334147135,"[2688.12392, 2762.252685, 2632.234444, 2561.648172, 2422.277856, 3048.590364, 2289.889996, 3056.528632, 3105.718634, 3640.55159, 3074.791843, 2819.337368, 2899.102206, 3055.076622, 2244.172994, 3076.812369, 2648.517481, 2568.377257, 3086.943946, 2811.113609, 3293.059074, 2897.544495, 2474.02779, 2353.684456, 3612.28384, 2975.630107, 2328.340513, 2966.716094, 2728.20455, 2988.48504]",,,,
Schwefel,LLH:perturb-share,2011.0182304390287,2870.8479222436017,2931.369937478856,342.02116445784003,3505.42432858377,0.0,-1,0.08966968854268392,"[2702.367244, 2562.707664, 2977.053304, 2971.42429, 2365.219014, 3061.104526, 2369.782207, 2806.658024, 3253.473313, 2932.74336, 2948.968714, 2893.536064, 2983.982715, 2806.745087, 2886.845761, 2968.373468, 2825.723328, 2929.996515, 3175.76182, 2271.39706, 3297.082197, 3088.715915, 2853.518315, 2219.263706, 3505.424329, 3034.481076, 2011.01823, 2880.830432, 3140.826481, 3400.413508]",,,,
Schwefel,LLH:swap-hybrid,1614.7934672756269,2761.7499446683373,2809.102745118712,372.67015879266927,3480.494806375503,0.0,-1,0.08700970013936361,"[2909.162687, 2520.24983, 2540.881614, 2856.915075, 1614.793467, 3409.10431, 2108.427441, 2679.207616, 2814.20149, 3392.213885, 2418.731059, 2769.135533, 2894.882395, 2758.641465, 2983.851076, 2546.30983, 2942.540588, 2687.622587, 2940.127573, 2804.004, 3065.846262, 2922.969454, 2751.968953, 2293.960158, 3025.80425, 2867.656072, 2357.727489, 2576.357422, 2918.709952, 3480.494806]",,,,
Schwefel,LLH:swap-fluid,1880.4861554612762,2808.647101734331,2824.3814382637174,407.7284456548903,3722.305754892931,0.0,-1,0.0821160634358724,"[2478.325191, 2709.487555, 2691.285268, 2259.828616, 2417.343068, 3398.924669, 1983.004855, 2820.434216, 2787.682254, 3722.305755, 2722.771612, 2917.045595, 3078.734679, 2777.765031, 2960.042822, 2993.61016, 2855.976225, 3095.932359, 2845.987627, 2597.545797, 2877.256375, 2828.328661, 2739.009198, 2158.765236, 3504.936899, 3027.953227, 1880.486155, 3076.531883, 2664.877754, 3387.234309]",,,,
WeldedBeam,HH-UCB,1.7263428937018703,1.819434576310716,1.7761770798901357,0.09304968683119655,2.035967624510024,0.16666666666666666,1528.8,0.26774043242136636,"[1.741043, 1.76732, 2.005953, 1.734351, 1.773705, 1.855494, 1.775879, 1.731849, 1.776475, 2.035968, 1.805726, 1.900877, 1.760511, 1.735885, 1.753806, 1.771656, 1.801364, 1.726343, 1.764175, 1.996208, 1.801339, 1.755346, 1.860207, 1.742559, 1.937895, 1.849748, 2.016537, 1.89077, 1.78273, 1.731321]",,,,
WeldedBeam,HH-Random,1.7261486631196923,1.775007665687869,1.7471987186123952,0.06672162470703544,2.0684381211897467,0.4,2486.5833333333335,0.2501652240753174,"[1.742069, 1.8097, 2.068438, 1.727859, 1.829707, 1.817681, 1.731687, 1.782555, 1.844399, 1.726529, 1.784226, 1.751053, 1.738179, 1.726149, 1.759619, 1.732713, 1.733093, 1.730369, 1.78062, 1.792392, 1.73732, 1.756769, 1.740636, 1.859557, 1.738688, 1.739959, 1.743344, 1.829603, 1.761929, 1.733387]",,,,
WeldedBeam,DE,1.7248617587371418,1.7249219677775123,1.7249071805921368,5.547780314217307e-05,1.7251174056974894,1.0,2334.233333333333,0.3229161898295085,"[1.724882, 1.724886, 1.725005, 1.724922, 1.724922, 1.724862, 1.725089, 1.724918, 1.72489, 1.724924, 1.724925, 1.724932, 1.724885, 1.72488, 1.724949, 1.724901, 1.724943, 1.724897, 1.72493, 1.724869, 1.725117, 1.7249, 1.724908, 1.724914, 1.72489, 1.724894, 1.724903, 1.724912, 1.724905, 1.724907]",,,,
WeldedBeam,CMA-ES,1.7248509547730164,1.7323411865631542,1.7248577829929168,0.017076724047956817,1.7890737100848866,0.8333333333333334,2738.88,0.1895250717798869,"[1.724852, 1.728588, 1.789074, 1.725501, 1.725039, 1.724889, 1.724863, 1.783615, 1.728776, 1.724851, 1.726233, 1.724852, 1.724851, 1.724851, 1.746525, 1.724851, 1.724851, 1.724851, 1.769054, 1.72492, 1.724851, 1.724851, 1.724851, 1.724851, 1.724853, 1.731989, 1.724851, 1.724851, 1.743489, 1.724913]",,,,
WeldedBeam,LLH:SA,1.7399556875654936,1.8016196186711801,1.779114825274193,0.0642939592504728,1.9785969562585801,0.03333333333333333,4929.0,0.17401773929595948,"[1.978597, 1.853484, 1.862866, 1.77943, 1.865537, 1.791354, 1.787189, 1.962638, 1.750439, 1.860288, 1.770697, 1.744473, 1.769913, 1.758479, 1.789481, 1.741958, 1.795079, 1.769, 1.765745, 1.795138, 1.748879, 1.94607, 1.763557, 1.778799, 1.748099, 1.817803, 1.752692, 1.768138, 1.739956, 1.79281]",,,,
WeldedBeam,LLH:Tabu,1.7632022055252814,1.832769873400132,1.8233163129244567,0.0424297147842052,1.9443379325957801,0.0,-1,0.20263429482777914,"[1.847962, 1.805214, 1.811655, 1.763202, 1.786745, 1.797702, 1.830248, 1.826633, 1.816139, 1.938254, 1.822746, 1.805544, 1.825164, 1.813198, 1.813938, 1.847496, 1.792834, 1.858078, 1.823886, 1.800486, 1.819762, 1.932566, 1.832497, 1.944338, 1.81491, 1.888204, 1.846277, 1.798057, 1.851421, 1.827941]",,,,
WeldedBeam,LLH:VNS,1.7320908281239062,1.904118684087809,1.7794440063995705,0.25987740890594546,2.8621956379638087,0.13333333333333333,3496.5,0.23236066500345867,"[2.862196, 1.76902, 1.778472, 1.876673, 1.757226, 1.780416, 1.733768, 1.736658, 1.774512, 1.800302, 2.030813, 1.742278, 1.757521, 1.747841, 1.732091, 1.890756, 1.878941, 1.754032, 2.430718, 1.743292, 1.905196, 2.270456, 1.733726, 1.746364, 2.370114, 2.050567, 1.80582, 1.746745, 1.816162, 2.100884]",,,,
WeldedBeam,LLH:LNS,1.9025402145926407,3.1884652794826898,2.963508792734248,0.9950360438302536,6.422580275557635,0.0,-1,0.29993077119191486,"[4.969316, 4.053552, 2.447312, 2.104855, 2.642255, 2.053787, 3.108249, 4.292127, 4.391118, 3.030776, 3.696424, 2.896242, 2.793387, 4.441519, 1.90254, 3.388936, 2.357487, 3.645407, 2.083575, 2.749566, 3.506705, 1.95618, 2.718923, 3.412436, 3.671889, 3.151057, 2.43115, 6.42258, 2.662901, 2.671706]",,,,
WeldedBeam,LLH:DE/rand/1,1.7248509548734332,1.7300595038545936,1.724851073046816,0.01686278014114957,1.8150447315290141,0.9333333333333333,1637.357142857143,0.3276572942733765,"[1.724851, 1.724851, 1.724861, 1.724851, 1.724851, 1.724854, 1.724854, 1.750702, 1.724851, 1.724853, 1.735738, 1.724851, 1.724851, 1.724852, 1.724851, 1.725044, 1.724851, 1.739755, 1.724851, 1.815045, 1.739014, 1.724851, 1.724851, 1.724851, 1.724851, 1.724851, 1.724851, 1.724856, 1.724851, 1.724891]",,,,
WeldedBeam,LLH:DE/best/1,1.7248509547724562,2.0059062983399443,1.724854174845393,0.5582972064681146,3.750051270077372,0.6666666666666666,1567.55,0.3448520024617513,"[2.663881, 1.724851, 1.955859, 1.724882, 2.082233, 1.724855, 2.742886, 1.726379, 1.725015, 1.814292, 2.6865, 1.724853, 1.759717, 1.724851, 1.724852, 1.724851, 1.724851, 3.750051, 1.724851, 1.724851, 1.724851, 1.724851, 1.724941, 1.724851, 2.502957, 1.724851, 1.724852, 1.724851, 1.724851, 3.719972]",,,,
