problem,method,best,mean,median,std,worst,succ_rate,mean_ett,mean_wall,finals,obj_mean,obj_best,feas_rate,cfg_best
Sphere,LLH:PSO,26.459298223636186,43.39196755471014,40.97780434256046,11.089719916740597,68.47637330872236,0.0,-1,0.0630607525507609,"[49.733758, 47.902531, 30.243131, 26.459298, 31.684551, 50.905677, 47.640657, 37.287408, 40.512278, 41.679964, 40.34093, 68.476373, 29.356195, 36.682164, 40.734124, 33.436914, 27.749219, 52.764443, 62.384834, 47.366939, 28.015989, 37.344663, 48.172288, 62.730825, 60.35761, 37.608231, 37.237526, 41.221484, 53.228813, 52.500209]",,,,
Sphere,LLH:perturb-V,22.311209111142357,37.826341581046485,35.57731539945056,11.470952323794481,62.14825812828995,0.0,-1,0.04156320889790853,"[36.542808, 30.805927, 24.766058, 25.128916, 22.311209, 27.508436, 32.494754, 37.037442, 38.531686, 28.377364, 38.352262, 62.148258, 26.633042, 36.678083, 32.469738, 33.096901, 24.637659, 31.289496, 59.911595, 47.259112, 27.396537, 34.611823, 45.067506, 60.541805, 60.271221, 32.765646, 37.237076, 40.648752, 52.085849, 48.183285]",,,,
Sphere,LLH:perturb-w,15.12881558491316,37.463583747675166,36.95173885743932,10.92370239166384,60.12933239537966,0.0,-1,0.04093799591064453,"[34.83494, 42.420276, 29.054845, 17.85796, 30.885667, 50.699187, 45.105117, 36.683864, 40.432709, 35.511271, 30.396693, 54.860333, 26.63456, 15.128816, 34.037759, 31.989488, 26.030842, 52.371432, 38.750866, 47.344066, 23.722803, 23.074656, 41.590468, 55.3772, 60.129332, 35.241936, 37.219614, 41.083642, 39.580394, 45.856774]",,,,
Sphere,LLH:perturb-share,14.856303794698624,37.49681788425456,36.879978523293055,12.359068228565203,60.66695568619642,0.0,-1,0.04058221181233724,"[45.41046, 37.557451, 30.226958, 24.278398, 30.250311, 46.30223, 43.119473, 17.526587, 34.854443, 41.649662, 39.668814, 60.573341, 18.96635, 35.565406, 35.563488, 31.335939, 14.856304, 52.052767, 45.81356, 22.700791, 27.751178, 36.211469, 46.200247, 60.666956, 59.286427, 37.548488, 23.114897, 27.632063, 46.76764, 51.452439]",,,,
Sphere,LLH:swap-hybrid,25.40333303753363,40.34657022969035,38.9312598660703,10.597868098060966,62.234104557543574,0.0,-1,0.04092241923014323,"[49.45689, 47.899293, 25.403333, 26.276727, 31.091493, 45.974825, 47.303231, 30.013107, 37.075152, 41.210094, 39.877185, 46.373183, 25.880294, 34.915787, 38.825093, 29.5883, 26.891788, 47.979105, 62.148083, 43.260137, 26.663288, 33.819386, 34.585879, 62.234105, 60.250316, 36.6839, 36.949201, 39.037427, 51.334594, 51.395913]",,,,
Sphere,LLH:swap-fluid,22.31120907947407,37.82634563581944,35.5773380980567,11.470950996502578,62.148257985058464,0.0,-1,0.040478054682413736,"[36.542813, 30.805927, 24.766059, 25.128924, 22.311209, 27.50844, 32.494757, 37.037444, 38.531687, 28.377364, 38.352261, 62.148258, 26.633043, 36.678083, 32.469759, 33.096903, 24.637674, 31.289498, 59.911596, 47.259112, 27.396538, 34.611863, 45.067506, 60.541808, 60.271225, 32.765647, 37.237076, 40.648755, 52.08585, 48.183286]",,,,
Rastrigin,HH-UCB,2.7066490897080797,12.021819932439572,10.855628685674766,6.8725875801491725,33.85444599748267,0.0,-1,0.16708450317382811,"[11.167981, 15.163692, 5.37905, 9.148925, 10.104445, 9.081467, 9.075806, 10.592212, 15.242014, 12.103238, 28.552618, 13.087157, 6.158671, 2.706649, 5.699581, 7.378969, 11.698052, 9.234876, 22.175653, 6.374071, 6.43282, 8.606042, 12.997916, 11.119046, 12.53439, 33.854446, 24.736594, 5.926966, 12.456817, 11.864436]",,,,
Rastrigin,HH-Random,1.101766748918152,9.123327383337998,8.442960747195322,4.716004090499046,22.53339897903173,0.0,-1,0.18024148941040039,"[8.302177, 12.97882, 12.204751, 5.131066, 9.682129, 5.471068, 11.266171, 15.745943, 6.26471, 7.24587, 15.160659, 14.655893, 22.533399, 12.395886, 8.223244, 2.554668, 7.963721, 8.583744, 11.696888, 5.040942, 7.380463, 1.101767, 5.546309, 9.486163, 11.51557, 4.272878, 12.180787, 4.30359, 13.647401, 1.163144]",,,,
Rastrigin,LLH:SA,6.216032776590822,27.901083260188194,23.463684581432666,14.311719982753413,61.72476795638447,0.0,-1,0.1060651699701945,"[45.258618, 23.613164, 16.934252, 59.094411, 55.930086, 38.135314, 21.953545, 17.78538, 16.578253, 25.81285, 24.532151, 23.061278, 61.724768, 19.647748, 31.625504, 32.286611, 18.794963, 31.758216, 19.770238, 9.023952, 6.216033, 31.523351, 23.314206, 56.535527, 25.768662, 14.346016, 19.522376, 20.846303, 29.400745, 16.237977]",,,,
Rastrigin,LLH:Tabu,32.49123680801169,51.04622718645131,48.77986056736914,10.522978871974633,84.40895773558107,0.0,-1,0.1310672124226888,"[55.471313, 64.999152, 48.36615, 65.232829, 58.824198, 39.825229, 59.047306, 51.052602, 46.912751, 54.163306, 32.491237, 51.630629, 84.408958, 47.901585, 40.410236, 48.802117, 49.631757, 40.243982, 44.634429, 57.809869, 37.67878, 63.399768, 43.710984, 45.670816, 48.757604, 44.77663, 45.863995, 50.704976, 67.163235, 41.80039]",,,,
